code,name,market
031300,玉晶光統一58購02,上市
031301,玉晶光統一58購03,上市
031302,嘉澤統一57購03,上市
031303,嘉澤統一58購01,上市
031304,嘉澤統一58購02,上市
031305,貿聯統一58購04,上市
031306,神達統一57購02,上市
031307,智伸科統一58購01,上市
031308,智伸科統一62購01,上市
031309,南寶統一58購02,上市
031310,南寶統一58購03,上市
031311,上品統一58購01,上市
031312,立積統一57購04,上市
031313,立積統一58購03,上市
031314,亞翔統一57購04,上市
031315,飛捷統一58購01,上市
031316,台塑化統一68購01,上市
031317,愛普統一58購02,上市
031318,緯穎統一58購02,上市
031319,緯穎統一59購02,上市
031320,視陽統一58購01,上市
031321,昇陽半統一5B購01,上市
031322,南電統一57購07,上市
031323,億豐統一58購02,上市
031334,佳能群益55購01,上市
031353,鴻海中信57購01,上市
031355,一詮中信56購01,上市
031359,元日2X國票55購03,上市
031360,元日2X國票58購01,上市
031366,長榮太國票56購01,上市
031367,長榮太國票58購01,上市
031385,宏達電永豐55購01,上市
031387,奇鋐永豐58購01,上市
031404,光寶科兆豐58購01,上市
031408,T50反1富邦55購02,上市
031416,智邦富邦55購01,上市
031417,漢唐富邦55購01,上市
031419,建準富邦55購01,上市
031423,玉晶光富邦55購01,上市
031425,精成科富邦55購01,上市
031427,AES富邦55購03,上市
031446,臺股指元富55購04,上市
031461,T50反1元大57購01,上市
031462,T50反1元大5B購01,上市
031473,光寶科元大58購01,上市
031488,台光電元大57購01,上市
031498,宏達電元大56購01,上市
031510,聯茂元大58購01,上市
031512,富世達元大58購02,上市
031514,T50反1凱基58購01,上市
031515,A50正2凱基55購03,上市
031518,中興電凱基58購01,上市
031521,中砂凱基55購03,上市
031526,鴻海凱基64購03,上市
031529,佳能凱基56購01,上市
031535,智原凱基55購01,上市
031541,精成科凱基55購02,上市
031544,南電凱基56購01,上市
031545,元黃金群益58購01,上市
031546,台泥群益57購01,上市
031549,大亞群益58購01,上市
031552,川湖群益58購01,上市
031555,華通群益56購01,上市
031563,華航群益56購01,上市
031584,富世達群益56購01,上市
031586,昇陽半群益56購01,上市
031590,鴻海中信58購01,上市
031593,臺股指中信56購01,上市
031595,道瓊銅永豐55購01,上市
031602,技嘉永豐55購01,上市
031610,新日興永豐55購01,上市
031622,台積電兆豐55購01,上市
031632,T50反1凱基57購01,上市
031633,T50反1凱基5B購01,上市
031635,美指2X凱基56購02,上市
031638,大成鋼凱基58購01,上市
031640,光寶科凱基57購01,上市
031643,鴻海凱基64購04,上市
031645,台積電凱基58購10,上市
031647,佳能凱基56購02,上市
031665,高力統一54購01,上市
031666,高力統一54購02,上市
031667,高力統一54購03,上市
031674,T50正2元富55購02,上市
031675,元黃金元富58購01,上市
031678,台積電元富68購01,上市
031689,亞翔元富55購01,上市
031693,緯穎元富55購04,上市
031695,AES元富55購01,上市
031722,立積群益55購01,上市
031729,SP黃豆國票55購01,上市
031730,道瓊銀國票5B購01,上市
031778,SGBR2X中信57購01,上市
031780,南亞中信56購01,上市
031782,金像電中信57購01,上市
031804,南亞兆豐58購01,上市
031805,鴻海兆豐58購01,上市
031806,鴻海兆豐58購02,上市
031808,金像電兆豐58購01,上市
031809,漢唐兆豐58購01,上市
031813,緯穎兆豐58購01,上市
031815,T50反1富邦62購01,上市
031819,健鼎富邦56購01,上市
031822,定穎控富邦55購01,上市
031828,元日2X凱基56購01,上市
031834,鴻海凱基68購03,上市
031839,宏達電凱基55購02,上市
031842,奇鋐凱基55購04,上市
031843,奇鋐凱基56購02,上市
031844,德律凱基57購01,上市
031853,富世達凱基58購01,上市
031857,A50正2國票55購02,上市
031858,臺指反國票58購01,上市
031867,高力統一55購01,上市
031869,建準國票56購01,上市
031874,奇鋐國票59購01,上市
031878,大銀國票58購01,上市
031901,華邦電元富55購01,上市
031904,佳能元富55購03,上市
031907,建準元富55購01,上市
031913,定穎控元富55購01,上市
031914,定穎控元富55購02,上市
031915,定穎控元富55購03,上市
031940,奇鋐群益58購01,上市
031944,和椿群益55購01,上市
031950,元日2X元大58購01,上市
031992,奇鋐中信55購01,上市
032010,奇鋐富邦55購02,上市
032024,奇鋐群益56購04,上市
032025,奇鋐群益56購05,上市
032026,奇鋐群益56購06,上市
032027,奇鋐群益58購02,上市
032041,T50反1元富55購03,上市
032042,T50反1元富58購01,上市
